Date,Open,High,Low,Close,Adj Close,Volume
2018-08-02,105.400002,108.089996,104.839996,107.570000,104.564430,26104300
2018-08-03,107.800003,108.050003,106.820000,108.040001,105.021309,18659600
2018-08-06,108.120003,108.419998,107.559998,108.129997,105.108788,20265900
2018-08-07,108.559998,109.099998,108.169998,108.879997,105.837830,16080200
2018-08-08,109.330002,109.750000,108.760002,109.489998,106.430786,15487500
2018-08-09,109.709999,110.160004,109.599998,109.669998,106.605751,13677200
2018-08-10,109.419998,109.690002,108.379997,109.000000,105.954483,18183700
2018-08-13,109.239998,109.580002,108.099998,108.209999,105.186554,18472500
2018-08-14,108.559998,109.750000,108.040001,109.559998,106.498833,16788300
2018-08-15,108.489998,108.989998,106.820000,107.660004,105.054649,29982800
2018-08-16,108.300003,108.860001,107.300003,107.639999,105.035133,21384300
2018-08-17,107.360001,107.900002,106.690002,107.580002,104.976585,18061500
2018-08-20,107.510002,107.900002,106.480003,106.870003,104.283783,17914200
2018-08-21,106.919998,107.349998,105.849998,105.980003,103.415314,22881900
2018-08-22,105.849998,107.339996,105.779999,107.059998,104.469170,18000600
2018-08-23,107.150002,108.180000,106.870003,107.559998,104.957062,18167700
2018-08-24,107.669998,108.559998,107.559998,108.400002,105.776741,17234000
2018-08-27,109.269997,109.639999,108.510002,109.599998,106.947693,19662300
2018-08-28,109.940002,110.500000,109.790001,110.260002,107.591743,19151500
2018-08-29,110.449997,112.029999,110.269997,112.019997,109.309135,20818000
2018-08-30,111.669998,112.610001,111.440002,111.949997,109.240837,22798700
2018-08-31,111.690002,112.779999,111.519997,112.330002,109.611641,23222700
2018-09-04,110.849998,111.959999,110.220001,111.709999,109.006638,22634600
2018-09-05,111.010002,111.419998,108.099998,108.489998,105.864563,32872400
2018-09-06,108.250000,108.989998,107.510002,108.739998,106.108505,23477600
2018-09-07,108.230003,108.720001,107.230003,108.209999,105.591339,22498600
2018-09-10,108.839996,109.639999,108.360001,109.379997,106.733025,20727900
2018-09-11,108.900002,111.589996,108.889999,111.239998,108.548004,24301800
2018-09-12,111.430000,111.849998,110.510002,111.709999,109.006638,18891100
2018-09-13,112.120003,113.730003,112.120003,112.910004,110.177597,26055600
2018-09-14,113.360001,113.730003,112.440002,113.370003,110.626465,19122300
2018-09-17,113.690002,113.699997,111.860001,112.139999,109.426239,20736500
2018-09-18,112.190002,113.699997,111.720001,113.209999,110.470337,22170900
2018-09-19,113.050003,113.320000,111.040001,111.699997,108.996872,21728400
2018-09-20,112.279999,113.800003,111.930000,113.570000,110.821632,23714500
2018-09-21,114.000000,115.290001,113.510002,114.260002,111.494949,71229700
2018-09-24,113.029999,114.900002,112.220001,114.669998,111.895004,27334500
2018-09-25,114.800003,115.099998,113.750000,114.449997,111.680321,22668000
2018-09-26,114.470001,115.059998,113.739998,113.980003,111.221718,19352000
2018-09-27,114.779999,114.910004,114.199997,114.410004,111.641304,19091300
2018-09-28,114.190002,114.570000,113.680000,114.370003,111.602264,21647800
2018-10-01,114.750000,115.680000,114.730003,115.610001,112.812271,18883100
2018-10-02,115.300003,115.839996,114.440002,115.150002,112.363396,20787200
2018-10-03,115.419998,116.180000,114.930000,115.169998,112.382904,16648000
2018-10-04,114.610001,114.760002,111.629997,112.790001,110.060501,34821700
2018-10-05,112.629997,113.169998,110.639999,112.129997,109.416473,29068900
2018-10-08,111.660004,112.029999,109.339996,110.849998,108.167450,29640600
2018-10-09,111.139999,113.080002,110.800003,112.260002,109.543335,26198600
2018-10-10,111.239998,111.500000,105.790001,106.160004,103.590958,61376300
2018-10-11,105.349998,108.930000,104.199997,105.910004,103.347000,63904300
2018-10-12,109.010002,111.239998,107.120003,109.570000,106.918419,47742100
2018-10-15,108.910004,109.480003,106.949997,107.599998,104.996094,32068100
2018-10-16,109.540001,111.410004,108.949997,111.000000,108.313820,31610200
2018-10-17,111.680000,111.809998,109.550003,110.709999,108.030838,26548200
2018-10-18,110.099998,110.529999,107.830002,108.500000,105.874321,32506200
2018-10-19,108.930000,110.860001,108.209999,108.660004,106.030457,32785500
2018-10-22,109.320000,110.540001,108.239998,109.629997,106.976967,26545600
2018-10-23,107.769997,108.970001,105.110001,108.099998,105.483994,43770400
2018-10-24,108.410004,108.489998,101.589996,102.320000,99.843880,63897800
2018-10-25,106.550003,109.269997,106.150002,108.300003,105.679176,61646800
2018-10-26,105.690002,108.750000,104.760002,106.959999,104.371597,55523100
2018-10-29,108.110001,108.699997,101.629997,103.849998,101.336845,55162000
2018-10-30,103.660004,104.379997,100.110001,103.730003,101.219749,65350900
2018-10-31,105.440002,108.139999,105.389999,106.809998,104.225212,51062400
2018-11-01,107.050003,107.320000,105.529999,105.919998,103.356743,33384200
2018-11-02,106.480003,107.320000,104.980003,106.160004,103.590958,37680200
2018-11-05,106.370003,107.739998,105.900002,107.510002,104.908287,27922100
2018-11-06,107.379997,108.839996,106.279999,107.720001,105.113197,24340200
2018-11-07,109.440002,112.239998,109.400002,111.959999,109.250587,37901700
2018-11-08,111.800003,112.209999,110.910004,111.750000,109.045670,25644100
2018-11-09,110.849998,111.449997,108.760002,109.570000,106.918419,32039200
2018-11-12,109.419998,109.959999,106.099998,106.870003,104.283783,33621800
2018-11-13,107.550003,108.739998,106.639999,106.940002,104.352066,35374600
2018-11-14,108.099998,108.260002,104.470001,104.970001,102.872246,39495100
2018-11-15,104.989998,107.800003,103.910004,107.279999,105.136086,38505200
2018-11-16,107.080002,108.879997,106.800003,108.290001,106.125908,33502100
